,question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,label
10,What is the company name?,"About this report This report covers the operations of OMV Group, headquartered in Vienna, Austria, for the 2017 business year.",OMV,Sustainability Report 2017_EN.pdf,[2],0.0,2017,OMV Group,TEXT,"[""About this report This report covers the operations of OMV Group, headquartered in Vienna, Austria, for the 2017 business year.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
11,What is the company name?,"About this report This report covers the sustainability operations of OMV Group, headquartered in Vienna, Austria, for the 2015 business year.",OMV,Sustainability Report 2015_EN.pdf,[2],0.0,2015,OMV Group,TEXT,"[""About this report This report covers the sustainability operations of OMV Group, headquartered in Vienna, Austria, for the 2015 business year.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
12,What is the company name?,"Actions to improve safety and security In 2019, safety initiatives were implemented through the company-wide improvement project: Safety beyond 2020. The goal has been to further strengthen the safety culture and performance through risk awareness and proactive behaviour at all organisational levels. The project builds on the existing I am Safety governance, which highlights that individuals are personally accountable for safety. Four main areas for improvement have been identified: safety visibility, leadership and behaviour, safety indicators and learning and follow-up.",University of Portsmouth,University of Plymouth Sustainability_Report_2018.pdf,[3],0.0,2018,University of Plymouth,TEXT,"[""Welcome to the University of Plymouth's fifth Sustainability Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
13,What is the company name?,Adani Enterprises Limited,Adani,Adani Group Adani Enterprises Annual Report 2019.pdf,[1],0.0,2018-19,Adani Enterprises Limited,TEXT,"[""Adani Enterprises Limited""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
14,What is the company name?,Adani Power Limited,Adani,Adani Group Adani Power Annual Report 2019.pdf,[1],0.0,2018-19,Adani Power Limited,TEXT,"[""Adani Power Limited""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
15,What is the company name?,"Additional information, including information on factors that may affect Equinor’s business, is contained in Equinor’s latest Annual Report and Form 20-F, filed with the U.S. Securities and Exchange Commission (and section Risk review – Risk factors thereof), which is available at Equinor’s website (www.equinor.com).",Dominion Energy,2018-summary-annual-report.pdf,[8],0.0,2018,Dominion Energy,TEXT,"[""For longer than a century, our stakeholders have relied on Dominion
Energy to provide stability in a changing world. By living our core
values ""” as they are embedded in our corporate culture ""” we have
provided safe, reliable and affordable energy to meet the needs
of our customers and communities, as well as the expectations of
our investors.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
16,What is the company name?,Aker BP,Aker BP,Aker-BP-Annual-report-2018.pdf,[1],0.0,2018,Aker BP,TEXT,"[""Aker BP""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
17,What is the company name?,AkerBP,Aker BP,AKERBP-Annual-Report-2016.pdf,[1],0.0,2016,Aker BP,TEXT,"[""AkerBP""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
18,What is the company name?,Always safe - Responsible operations Always safe - Responsible operations,RWE,RWE-csr_overall-report-2019.pdf,[26],0.0,2019,RWE AG,TEXT,"[""The CR Report of RWE AG is published as a GRI Report and conforms with the GRI Standards (2016) of the Global Reporting Initiative in a selection based on a Materiality Analysis of the topics relevant for our business.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
19,What is the company name?,Always safe Responsible operations Safety is our first priority ,BP,bp-annual-report-and-form-20f-2019.pdf,[1],0.0,2019,BP,TEXT,"[""BP Annual Report and Form 20-F 2019""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
20,What is the company name?,Ameren,Ameren Corporation,Ameren_2019_Annual_Report.pdf,[1],0.0,2019,Ameren,TEXT,"[""Ameren""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
21,What is the company name?,"Annual Report and Form 20-F for the year ended December 31, 2018, Royal Dutch Shell plc",Royal Dutch Shell plc,shell_annual_report_2018.pdf,[1],0.0,2018,Royal Dutch Shell plc,TEXT,"[""Annual Report and Form 20-F for the year ended December 31, 2018, Royal Dutch Shell plc""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
22,What is the company name?,"Anti-bribery and corruption - Our Code of Conduct explicitly prohibits engaging in bribery and corruption in any form. Equinor’s Anti-Corruption Compliance Program summarises the standards, requirements and procedures implemented to comply with applicable laws and regulations and maintaining our high ethical standards. Our group-wide policy ensures that anti-bribery and corruption risks are identified, and measures are taken to mitigate risk in all parts of the organisation and that concerns are reported. We maintain a global network of compliance officers responsible for ensuring that ethical and anti- corruption considerations are integrated into Equinor activities no matter where they take place. ",Cenovus Energy,Cenovus Annual Report 2017.pdf,[1],0.0,2017,Cenovus Energy,TEXT,"[""cenovus ENERGY""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
23,What is the company name?,"Approach Resources Inc. is an independent energy company focused on the exploration, development, production and acquisition of unconventional oil and gas reserves in the Midland Basin of the greater Permian Basin in West Texas, where we lease approximately 149,000 net acres as of December 31, 2017. We believe our concentrated acreage position and extensive, integrated field infrastructure system provides us an opportunity to achieve cost, operating and recovery efficiencies in the development of our drilling inventory. Our long-term business strategy is to develop resource potential from the Wolfcamp shale oil formation and pursue acquisitions that meet our strategic and financial objectives. See — Our Business Strategy below. Additional drilling targets could include the Clearfork, Canyon Sands, Strawn and Ellenburger zones. We sometimes refer to our development project in the Permian Basin as Project Pangea, which includes Pangea West. Our management and technical team have a proven track record of finding and developing reserves through advanced drilling and completion techniques. As the operator of all of our estimated proved reserves and production, we have a high degree of control over capital expenditures and other operating matters.",Approach Resources Inc,NASDAQ_AREX_2017 annual.pdf,[9],0.0,2017,Approach Resources Inc.,TEXT,"[""Approach Resources Inc. is an independent energy company focused on the exploration, development,
production and acquisition of unconventional oil and gas reserves in the Midland Basin of the greater Permian Basin
in West Texas, where we lease approximately 149,000 net acres as of December 31, 2017. We believe our
concentrated acreage position and extensive, integrated field infrastructure system provides us an opportunity to
achieve cost, operating and recovery efficiencies in the development of our drilling inventory. Our long-term
business strategy is to develop resource potential from the Wolfcamp shale oil formation and pursue acquisitions
that meet our strategic and financial objectives. See Â“Â— Our Business StrategyÂ” below. Additional drilling targets
could include the Clearfork, Canyon Sands, Strawn and Ellenburger zones. We sometimes refer to our development
project in the Permian Basin as Â“Project Pangea,Â” which includes Â“Pangea West.Â” Our management and technical
team have a proven track record of finding and developing reserves through advanced drilling and completion
techniques. As the operator of all of our estimated proved reserves and production, we have a high degree of control
over capital expenditures and other operating matters.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
24,What is the company name?,"As I look back on the past two decades, they are largely defined by rapid advancements in technology. From consumer and industrial goods to healthcare and financial services, advancements in technology have reshaped and disrupted industries, while also creating new opportunities for those with the acumen to innovate and successfully execute on a vision. Twenty years ago, in May of 2000, we launched Intercontinental Exchange, a name we chose to reflect our vision of better serving global markets through our innovative, web-based, technology platform. We aspired to create a more transparent market that was easily accessible to all participants. In the years since, our focus on leading technology, customer-driven product innovation and operating efficiency has remained core to our strategy. We have built new technology from scratch; we have acquired old technology and refurbished it; and we have innovated, developing countless new products and content that seamlessly flow through a global distribution platform. It is our operating expertise, leading technology infrastructure and innovative culture that underpin the quality of the networks we operate and, ultimately, have proven to be our most valuable competitive advantages.",Intercontinental Exchange,2019-Annual-Report_Web_BMK_vF.pdf,[2],0.0,2019,Intercontinental Exchange,TEXT,"[""As I look back on the past two decades, they are largely defined by rapid
advancements in technology. From consumer and industrial goods to
healthcare and financial services, advancements in technology have
reshaped and disrupted industries, while also creating new opportunities
for those with the acumen to innovate and successfully execute on a
vision. Twenty years ago, in May of 2000, we launched Intercontinental
Exchange, a name we chose to reflect our vision of better serving global
markets through our innovative, web-based, technology platform. We
aspired to create a more transparent market that was easily accessible
to all participants. In the years since, our focus on leading technology,
customer-driven product innovation and operating efficiency has
remained core to our strategy. We have built new technology from
scratch; we have acquired old technology and refurbished it; and we
have innovated, developing countless new products and content that
seamlessly flow through a global distribution platform. It is our
operating expertise, leading technology infrastructure and innovative
culture that underpin the quality of the networks we operate and,
ultimately, have proven to be our most valuable competitive advantages.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
25,What is the company name?,"At Ervia we have a pivotal role to play in enhancing the environment, leading the transition to a low carbon energy system, protecting precious water resources and increasing resilience.",Ervia,Ervia-Annual-Report-2018.pdf,[4],0.0,2018,Ervia,TEXT,"[""At Ervia we have a pivotal role to play
in enhancing the environment, leading
the transition to a low carbon energy
system, protecting precious water
resources and increasing resilience.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
26,What is the company name?,"Australia As part of planning for the Stromlo-1 exploration drilling programme in the Great Australian Bight, a comprehensive Environmental Plan (EP) was finalised and submitted to the authorities in 2019. The EP, which took two years to develop, was accepted by the regulator in December 2019. The work included co-funding extensive baseline surveying of the deep-water environments and the met-ocean conditions of the Great Australian Bight. More information about the EP and related engagement activities is found in the Respecting human rights chapter in this report and on our web-site. ",OMV,dload_Sustainability Report 2018_en.pdf,[2],0.0,2018,OMV,TEXT,"[""Welcome to OMV's 2018 Sustainability Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
27,What is the company name?,BASF Report 2015,BASF SE,2015_BASF_Report.pdf,[1],0.0,2015,BASF,TEXT,"[""BASF Report 2015""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
28,What is the company name?,BASF Report 2016,BASF SE,BASF_Report_2016.pdf,[1],0.0,2016,BASF,TEXT,"[""BASF Report 2016""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
29,What is the company name?,BASF Report 2017,BASF SE,BASF_Report_2017.pdf,[1],0.0,2017,BASF,TEXT,"[""BASF Report 2017""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
30,What is the company name?,BASF Report 2018,BASF SE,BASF_Report_2018.pdf,[1],0.0,2018,BASF,TEXT,"[""BASF Report 2018""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
31,What is the company name?,BOARD OF DIRECTORS AND statutory AUDITORS OF SAIPEM SpA,Saipem SpA,Annual-report-2019.pdf,[2],0.0,2019,SAIPEM SpA,TEXT,"[""BOARD OF DIRECTORS AND statutory AUDITORS OF SAIPEM SpA""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
32,What is the company name?,BP Annual Report and Form 20-F 2018,BP,bp-annual-report-and-form-20f-2018.pdf,[1],0.0,2018,BP,TEXT,"[""BP Annual Report and Form 20-F 2018""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
33,What is the company name?,BP Annual Report and Form 20-F 2019,BP,bp-annual-report-and-form-20f-2019.pdf,[1],0.0,2019,BP,TEXT,"[""BP Annual Report and Form 20-F 2019""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
34,What is the company name?,BP Sustainability Report 2017,BP,bp-sustainability-report-2017.pdf,[1],0.0,2017,BP,TEXT,"[""BP Sustainability Report 2017""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
35,What is the company name?,BP Sustainability Report 2018,BP,bp-sustainability-report-2018.pdf,[1],0.0,2018,BP,TEXT,"[""BP Sustainability Report 2018""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
36,What is the company name?,BP Sustainability Report 2019,BP,bp-sustainability-report-2019.pdf,[1],0.0,2019,BP,TEXT,"[""BP Sustainability Report 2019""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
37,What is the company name?,Board of Directors and auditors of Saipem SpA,Saipem SpA,ANNUAL REPORT 2017.pdf,[2],0.0,2017,Saipem SpA,TEXT,"[""Board of Directors and auditors of Saipem SpA""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
38,What is the company name?,"Board of Directors’ Safety, Sustainability and Ethics committee.",ENDESA,Endesa SA Annual Report 2018.pdf,[3],0.0,2018,ENDESA,TEXT,"[""ENDESA, S.A. Financial Statements for the year ended 31 December 2018 5 ENDESA, S.A. and Subsidiaries Consolidated Financial Statements for the year ended 31 December 2018 207""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
39,What is the company name?,"Brazil As a major offshore operator, it is particularly relevant for Equinor to keep close engagement with fisheries. Fishermen operating offshore Brazil are impacted by our offshore activities through the regulatory prohibition on fishing near offshore installations. During 2019, Equinor and partners were responsible for training approximately 300 local fishermen to act as response teams in the event of an oil spill at sea, with the purpose of ensuring the safety and protection of marine and coastal environments. The process has resulted in formal certifications for the fishermen and their vessels, creating positive safety results and expanded livelihood opportunities for the fishing communities. ",OMV,Sustainability Report 2013_EN.pdf,[101],0.0,2013,OMV Aktiengesellschaft,TEXT,"[""Owner and publisher OMV Aktiengesellschaft TrabrennstraÃŸe 6-8 1020 Vienna, Austria info.sustainability@omv.com""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
40,What is the company name?,Brazil Biodiversity aspects are a focus area for our operations in Brazil and improvement initiatives have been undertaken in collaboration with the local chapter of the World Business ,Total SA,NYSE_TOT_2015 annual.pdf,[1],0.0,2015,Total,TEXT,"[""TOTAL
COMMITTED TO BETTER ENERGY""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
41,What is the company name?,"Brazil Equinor’s social investment and sponsorship portfolio in Brazil has been reviewed based on four main objectives: (i) build long-term capability for the market through education; (ii) create opportunities for local communities, contributing to a reduction in social inequality; (iii) engage the entire Equinor Brazil organisation and build internal pride, (iv) improve brand recognition and enhance Equinor’s reputation in the local market. ",Equinor,sustainability-report-2019.pdf,[2],0.0,2019,Equinor,TEXT,"[""Equinor supports the Paris agreement and a net zero target
for society. We have already brought COâ‚‚ emissions in the oil
and gas production process down to industry leading levels,
and we will continue to do more. Our journey to develop as a
broad energy company is founded on a strong commitment to
sustainability, and our strategy - always safe, high value and
low carbon - is applied in everything we do.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
42,What is the company name?,"Business context and our approach Equinor is a global company with a presence in parts of the world where corruption represents a high risk. With a strategy to accelerate internationalisation and increase investments in new energy markets, 2019 represented a year of continued focus on ethics and anti-corruption. ",Wintershall Dea,Wintershall Dea annual report 2019.pdf,[1],0.0,2019,Wintershall Dea,TEXT,"[""wintershall dea""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
43,What is the company name?,"Business context and our approach Responsible management of our environmental impact is of great importance to Equinor. As a large offshore oil and gas operator and a growing offshore wind power provider, we have identified responsible management of the oceans as a sustainability priority area. ",Koninklijke Vopak NV,vopak_annual_report_2019.pdf,[2],0.0,2019,Vopak,TEXT,"[Vopak | Annual Report 2019 ""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
44,What is the company name?,CABOT OIL & GAS CORPORATION,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp Annual Report 2016.pdf,[1],0.0,2016,CABOT OIL & GAS CORPORATION,TEXT,"[""CABOT OIL & GAS CORPORATION""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
45,What is the company name?,CABOT OIL & GAS CORPORATION 2017 Annual Report,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp Annual Report 2017.pdf,[1],0.0,2017,CABOT OIL & GAS CORPORATION,TEXT,"[""CABOT OIL & GAS CORPORATION
2017 Annual Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
46,What is the company name?,"CCUS As a leader in CCUS, Equinor is working to build a European value chain, capturing and storing CO₂ from industrial plants that have CO₂ as a by-product, for example waste management facilities and cement producers. The Norwegian government is a key partner and has also set the ambition to develop a full-scale CCUS value chain in Norway by 2024.",Adani,Adani Group Adani Power Sustainability Report 2018.pdf,[1],0.0,2018-19,Adani Power Limited,TEXT,"[""Adani Power Limited""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
47,What is the company name?,"CIMAREX ENERGY CO. (NYSE: XEC) is an oil and gas exploration and production company with operations mainly located in Oklahoma, Texas and New Mexico. W",Cimarex Energy Co.,Cimarex Annual Report 2019.pdf,[2],0.0,2019,Cimarex Energy Co.,TEXT,"[""CIMAREX ENERGY CO. (NYSE: XEC) is an oil
and gas exploration and production company
with operations mainly located in Oklahoma,
Texas and New Mexico. W""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
48,What is the company name?,"CO₂ released to the atmosphere as a result of our processes and activities, including CO₂ emissions from energy generation, heat production, flaring (including well testing/well work-over), and remaining emissions from carbon capture and treatment plants. Separate data compiled for Equinor operated activities and equity basis.",NOVATEK,AR_FS_2017_ENG.pdf,[1],0.0,2017,PAO NOVATEK,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2017""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
49,What is the company name?,Cabot Oil & Gas Corporation 2019 Annual Report,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp Annual Report 2019.pdf,[9],0.0,2019,Cabot Oil & Gas Corporation,TEXT,"[""Cabot Oil & Gas Corporation
2019 Annual Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
50,What is the company name?,"Cabot Oil & Gas Corporation, headquartered in Houston, Texas, is an independent oil and gas producer. The Company's focused operations are centered around developing its natural gas resources in northeast Pennsylvania.",Cabot Oil & Gas Corp,Cabot Oil & Gas Corp Annual Report 2018.pdf,[3],0.0,2018,Cabot Oil & Gas Corporation,TEXT,"[""Cabot Oil & Gas Corporation, headquartered in Houston, Texas, is an independent oil and gas producer. The Company's focused operations are centered around developing its natural gas resources in northeast Pennsylvania.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
51,What is the company name?,"Callon Petroleum is an independent oil and natural gas company focused on the acquisition, exploration and development of high-quality assets in the heart of the Permian Basin. Our mission is to build trust, create value, and drive sustainable growth for our investors, our employees and the communities in which we operate.",Callon Petroleum Co,Callon Petroleum Co Annual Report 2017.pdf,[2],0.0,2017,Callon Petroleum,TEXT,"[""Callon Petroleum is an independent oil and natural gas company focused on the acquisition,
exploration and development of high-quality assets in the heart of the Permian Basin.
Our mission is to build trust, create value, and drive sustainable growth for our investors,
our employees and the communities in which we operate.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
52,What is the company name?,"Callon Petroleum is an independent oil and natural gas company focused on the acquisition, exploration, and development of high-quality assets in the leading oil plays of the Permian Basin in West Texas and Eagle Ford Shale in South Texas. Our mission is to build trust, create value, and drive sustainable growth for our investors, our employees, and the communities in which we operate.",Callon Petroleum Co,Callon Petroleum Co Annual Report 2019.pdf,[2],0.0,2019,Callon Petroleum,TEXT,"[""Callon Petroleum is an independent oil and natural gas company focused
on the acquisition, exploration, and development of high-quality assets
in the leading oil plays of the Permian Basin in West Texas and Eagle Ford
Shale in South Texas. Our mission is to build trust, create value, and drive
sustainable growth for our investors, our employees, and the communities
in which we operate.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
53,What is the company name?,Canadian Natural 2018 Annual Report Premium Value. Defined Growth. Independent.,Canadian Natural Resources Ltd,Canadian Natural Resources Annual Report 2018.pdf,[2],0.0,2018,Canadian Natural,TEXT,"[""Canadian Natural 2018 Annual Report Premium Value. Defined Growth. Independent.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
54,What is the company name?,Canadian Natural 2019 Annual Report 30 Years of Premium Value.,Canadian Natural Resources Ltd,Canadian Natural Resources Annual Report 2019.pdf,[2],0.0,2019,Canadian Natural,TEXT,"[""Canadian Natural 2019 Annual Report 30 Years of Premium Value.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
55,What is the company name?,"Canadian Natural demonstrated strong operational and financial performance throughout 2017 and completed its transition to a long life low decline asset base. The Company's focus on disciplined and balanced capital allocation continues, generating sustainable free cash flow for years to come.",Canadian Natural Resources Ltd,Canadian Natural Resources Annual Report 2017.pdf,[2],0.0,2017,Canadian Natural,TEXT,"[""Canadian Natural demonstrated strong operational and financial performance throughout 2017 and completed its transition to a long life low
decline asset base. The Company's focus on disciplined and balanced capital allocation continues, generating sustainable free cash flow for
years to come.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
56,What is the company name?,"Carbon costs and taxes Specific regulations (e.g. air quality, emission standards and fuel directives)",Cimarex Energy Co.,Cimarex Annual Report 2019.pdf,[2],0.0,2019,Cimarex Energy Co.,TEXT,"[""CIMAREX ENERGY CO. (NYSE: XEC) is an oil
and gas exploration and production company
with operations mainly located in Oklahoma,
Texas and New Mexico. W""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
57,What is the company name?,CenterPoint Energy,CenterPoint Energy,CenterPoint Energy Annual report 2019.pdf,[1],0.0,2019,CenterPoint Energy,TEXT,"[""CenterPoint Energy""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
58,What is the company name?,CenterPoint Energy 2016 Annual Report,CenterPoint Energy,CenterPoint Energy Annual report 2016.pdf,[1],0.0,2016,CenterPoint Energy,TEXT,"[""CenterPoint Energy 2016 Annual Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
59,What is the company name?,CenterPoint Energy 2016 Corporate Responsibility Report,CenterPoint Energy,CenterPoint Energy Corporate Responsibility report 2016.pdf,[1],0.0,2016,CenterPoint Energy,TEXT,"[""CenterPoint Energy 2016 Corporate Responsibility Report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
60,What is the company name?,Cheniere 2019 corporate responsibility report,Cheniere Energy,Cheniere Energy Corporate Responsibility Report 2019.pdf,[1],0.0,2019,Cheniere ,TEXT,"[""Cheniere 2019 corporate responsibility report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
61,What is the company name?,"Cheniere energy, inc.",Cheniere Energy,Cheniere Energy Annual report 2019.pdf,[1],0.0,2019,Cheniere Energy,TEXT,"[""Cheniere energy, inc.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
62,What is the company name?,"Cheniere energy, inc. 2017 annual report",Cheniere Energy,Cheniere Energy Annual report 2017.pdf,[1],0.0,2017,Cheniere ,TEXT,"[""Cheniere energy, inc. 2017 annual report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
63,What is the company name?,"Cheniere energy, inc. 2018 annual report",Cheniere Energy,Cheniere Energy Annual report 2018.pdf,[1],0.0,2018,Cheniere Energy,TEXT,"[""Cheniere energy, inc. 2018 annual report""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
64,What is the company name?,Chesapeake energy,Chesapeake energy,Chesapeake 2018 Annual Report.pdf,[1],0.0,2018,Chesapeake energy,TEXT,"[""Chesapeake energy""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
65,What is the company name?,"Chronical effects (e.g. sea water rise, increased scarcity of water) Acute effects (e.g. more frequent and more extreme weather events)",Surgutneftegas,GO SNG 2018 Eng annual.pdf,[2],0.0,2018,Surgutneftegas,TEXT,"[""At the moment, ""Surgutneftegas"" PJSC
develops six fields in Eastern Siberia,
the volume of production continues
to increase: in 2018, oil production
was 9.1 million tonnes, making 15%
of the Company's total oil production.
In 2019, the Company expects to put on
stream one more field in the Republic
of Sakha (Yakutia) - the Lenskoye field,
where we are actively engaged in building
the infrastructure. In the next 3-4 years,
oil production at this field is expected to
reach 1.5-2 million tonnes per year.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
